ID;EMAIL;RECENCY;AVERAGE TICKET;PURCHASE AMOUNT3
583;name.583@okay.com;8;116.60;5
236;name.236@okay.com;9;59.00;4
490;name.490@okay.com;2;163.33;3
273;name.273@okay.com;4;22.75;12
511;name.511@okay.com;14;36.50;14
831;name.831@okay.com;11;55.40;15
405;name.405@okay.com;10;45.00;9
589;name.589@okay.com;1;39.27;15
425;name.425@okay.com;36;53.13;8
817;name.817@okay.com;41;54.47;15
442;name.442@okay.com;39;55.25;8
726;name.726@okay.com;43;66.00;11
693;name.693@okay.com;33;173.25;4
581;name.581@okay.com;46;581.00;1
619;name.619@okay.com;52;88.43;7
767;name.767@okay.com;57;63.92;12
350;name.350@okay.com;45;26.92;13
580;name.580@okay.com;78;58.00;10
572;name.572@okay.com;87;143.00;4
889;name.889@okay.com;89;111.13;8
705;name.705@okay.com;69;78.33;9
828;name.828@okay.com;72;92.00;9
383;name.383@okay.com;76;31.92;12
917;name.917@okay.com;90;917.00;1
786;name.786@okay.com;74;393.00;2
